"","name","city","prim","sec","tert","quart","state","stars"
"2230","Sonic Drive-In of Apache Junction","Apache Junction","Fast Food",NA,NA,NA,"AZ",1.625
"2231","Sonic of Gilbert #1","Gilbert","",NA,NA,NA,"AZ",2.13333333333333
"2232","Sonic of Mesa #2","Mesa","",NA,NA,NA,"AZ",2.75
"2233","Sonic Restaurant","Casa Grande","Fast Food",NA,NA,NA,"AZ",2.6
"2234","Sonny's BBQ","Charlotte","American (New)"," Barbeque",NA,NA,"NC",3.23684210526316
"2235","Sonny's Real Pit Bar-B-Q","Charlotte","Barbeque",NA,NA,NA,"NC",3
"2236","Sonoma Bistro","Charlotte","American (New)",NA,NA,NA,"NC",3.5
"2237","Sonoma Cellar","Henderson","Steakhouses",NA,NA,NA,"NV",3.97647058823529
"2238","Sophie's French Bistro","Phoenix","Wine Bars"," Bars"," Nightlife"," French","AZ",3.9
"2239","Sorrento's Pizza","Pittsburgh","Pizza",NA,NA,NA,"PA",3.75
"2240","Soul Food Connection","Pittsburgh","",NA,NA,NA,"PA",4.42857142857143
"2241","Soup Factory","Middleton","",NA,NA,NA,"WI",3
"2242","Souper Salad","Phoenix","Buffets",NA,NA,NA,"AZ",2.84251968503937
"2243","Souper Salad Restaurant","Glendale","American (Traditional)"," Buffets",NA,NA,"AZ",3.15789473684211
"2244","South 21 Drive In","Charlotte","Burgers",NA,NA,NA,"NC",3.93617021276596
"2245","South 21 Family Restaurant","Charlotte","Burgers"," American (Traditional)",NA,NA,"NC",4.11111111111111
"2246","South Bank Grill","Phoenix","Polish"," American (Traditional)",NA,NA,"AZ",3.7
"2247","South Bay Lounge","Madison","Bars"," American (Traditional)"," Nightlife"," Lounges","WI",3.6
"2248","South China Buffet","Phoenix","Buffets"," Chinese",NA,NA,"AZ",2.28571428571429
"2249","Spaghetti Warehouse","Pittsburgh",""," Italian",NA,NA,"PA",2.47674418604651
"2250","Spartan Pizza","Mc Farland","Burgers"," Bars"," Pizza"," Nightlife","WI",3.85714285714286
"2251","Spinato's Pizza","Phoenix","Italian"," Pizza"," Sandwiches",NA,"AZ",4.32432432432432
"2252","Spinato's Pizzeria","Phoenix","Italian"," Pizza"," Gluten-Free",NA,"AZ",4.36802973977695
"2253","Sport Peppers Grill","Phoenix","Bars"," "," American (Traditional)"," Sports Bars, Nightlife","AZ",2.375
"2254","Sports Rock Cafe","Pittsburgh","American (Traditional)",NA,NA,NA,"PA",2.28571428571429
"2255","Spring Garden Restaurant","Waunakee","Mediterranean"," Diners",NA,NA,"WI",3.36363636363636
"2256","Squirrel Hill Cafe","Pittsburgh","Pubs"," Bars"," American (New)"," Nightlife","PA",3.87878787878788
"2257","Stackers Restaurant","Phoenix","Pubs"," Bars"," American (Traditional)"," Nightlife","AZ",3.92857142857143
"2258","Stamm House At Pheasant Branch","Middleton","American (Traditional)",NA,NA,NA,"WI",2.14285714285714
"2259","Star of India","Phoenix","Pakistani"," Indian"," Buffets",NA,"AZ",4.04672897196262
"2260","Star Wok","Phoenix","Chinese",NA,NA,NA,"AZ",3.88235294117647
"2261","Starlite Lounge","Pittsburgh","Bars"," American (Traditional)"," Nightlife"," Lounges","PA",3.11764705882353
"2262","State Street Brats","Madison","Nightlife"," Bars"," American (Traditional)"," Sports Bars","WI",3.09154929577465
"2263","Steak'n Shake","Charlotte","Burgers"," Fast Food",NA,NA,"NC",2.91666666666667
"2264","Steak 'n Shake","Munhall","Burgers"," Fast Food",NA,NA,"PA",1.88
"2265","SteakenBurger / Long Wongs Wings","Phoenix","Burgers"," Pizza"," Chicken Wings",NA,"AZ",3.52777777777778
"2266","Steaks R US","Mesa","Fast Food"," Steakhouses",NA,NA,"AZ",3.6
"2267","Steamers Genuine Seafood","Phoenix","Seafood",NA,NA,NA,"AZ",3.05555555555556
"2268","Steele Creek Cafe","Charlotte","American (Traditional)",NA,NA,NA,"NC",3.55
"2269","Steelhead Brasserie and Wine Bar","Pittsburgh","American (New)",NA,NA,NA,"PA",2.76923076923077
"2270","Steep & Brew","Madison","Food"," Coffee & Tea"," Cafes",NA,"WI",3.88461538461538
"2271","Steiner's Nevada Style Pub","Las Vegas","Pubs"," Bars"," American (Traditional)"," Nightlife","NV",3.8
"2272","Steve's Cafe","Scottsdale","Sandwiches",NA,NA,NA,"AZ",4.25
"2273","Steve's Krazy Sub","Mesa","Sandwiches",NA,NA,NA,"AZ",3.95238095238095
"2274","Steves New York Hotdog Shop","Pittsburgh","Hot Dogs",NA,NA,NA,"PA",4.66666666666667
"2275","Sticklers","Phoenix","Sandwiches"," Salad",NA,NA,"AZ",3.88372093023256
"2276","Stockyard Restaurant","Charlotte","Breakfast & Brunch"," American (Traditional)",NA,NA,"NC",4.625
"2277","Stockyards Restaurant","Phoenix","Steakhouses",NA,NA,NA,"AZ",3.84530386740331
"2278","Stool Pigeons Coop & Grill","Charlotte","Bars"," American (Traditional)"," Pubs"," Nightlife, Sports Bars","NC",2.97222222222222
"2279","Stratosphere Buffet","Las Vegas","Buffets",NA,NA,NA,"NV",2.48936170212766
"2280","Streets of New York","Phoenix","Italian"," Pizza"," Sandwiches",NA,"AZ",3.12141280353201
"2281","Stroll Inn","Mc Kees Rocks","",NA,NA,NA,"PA",3.66666666666667
"2282","Stumpys Pizza","Phoenix","Italian"," Pizza"," Sandwiches",NA,"AZ",4.23880597014925
"2283","Sub Corral Sandwich Shop","Belmont","Sandwiches",NA,NA,NA,"NC",2.54545454545455
"2284","Sub Factory","Phoenix","Sandwiches",NA,NA,NA,"AZ",3.57142857142857
"2285","Sub One Hoagie House","Charlotte","Sandwiches",NA,NA,NA,"NC",4.26086956521739
"2286","Sub Station II","Charlotte","Sandwiches",NA,NA,NA,"NC",3.44
"2287","Subs by Jim","Phoenix","Sandwiches",NA,NA,NA,"AZ",3.71428571428571
"2288","Subway","Pittsburgh","Fast Food"," Sandwiches",NA,NA,"PA",3.00975609756098
"2289","Suede","Scottsdale","Bars"," Dance Clubs"," Nightlife"," Lounges, American (New)","AZ",2.56
"2290","Sugar Daddy's","Scottsdale","",NA,NA,NA,"AZ",2.42857142857143
"2291","Suki Hana","Tempe","Japanese",NA,NA,NA,"AZ",3.16666666666667
"2292","Sullivan's Pier","Mesa","Seafood",NA,NA,NA,"AZ",3.8
"2293","Sullivan's Steakhouse","Charlotte","Steakhouses",NA,NA,NA,"NC",3.75555555555556
"2294","Sultan's Grill","Las Vegas","Greek"," Mediterranean",NA,NA,"NV",3.175
"2295","Sun Star Buffet","Phoenix","Buffets",NA,NA,NA,"AZ",2.57142857142857
"2296","Sun Up Brewing","Phoenix","Food"," Bars"," Breweries"," Nightlife","AZ",3.65882352941176
"2297","Sundance Kid Cafe","North Las Vegas","Cafes",NA,NA,NA,"NV",3.6
"2298","Sunprint On The Square","Madison","Food"," Coffee & Tea"," Sandwiches",NA,"WI",3.56666666666667
"2299","Sunrise Casablanca","Las Vegas","Bars"," American (Traditional)"," Nightlife",NA,"NV",4
"2300","Sunrise Restaurant","Charlotte","Breakfast & Brunch",NA,NA,NA,"NC",3.92
"2301","Sunroom Cafe","Madison","Breakfast & Brunch"," Cafes"," Salad",NA,"WI",3.69565217391304
"2302","Sunseri Jimmy & Nino","Pittsburgh","Food"," Ethnic Food"," Specialty Food"," , Italian","PA",3.72222222222222
"2303","Sunseri Pizza","Pittsburgh","Pizza",NA,NA,NA,"PA",4.875
"2304","Sunshine Cafe","Las Vegas","Breakfast & Brunch"," Diners",NA,NA,"NV",4.02564102564103
"2305","Super Burrito","Scottsdale","Mexican",NA,NA,NA,"AZ",3.43859649122807
"2306","Super Dragon","Phoenix","Chinese",NA,NA,NA,"AZ",3.87951807228916
"2307","Super Mex Restaurant & Cantina","Las Vegas","Mexican",NA,NA,NA,"NV",3.27906976744186
"2308","Superstition Skies Restaurant & Lounge","Apache Junction","American (Traditional)",NA,NA,NA,"AZ",2.8
"2309","Supreme Pizza","Pittsburgh","Pizza",NA,NA,NA,"PA",2.57142857142857
"2310","Sushi 101","Charlotte","Sushi Bars"," Japanese",NA,NA,"NC",3.45871559633028
"2311","Sushi 101 Bar and Grill","Tempe","Sushi Bars"," Japanese",NA,NA,"AZ",3.38912133891213
"2312","Sushi Bay","Henderson","Sushi Bars"," Japanese",NA,NA,"NV",3.8030303030303
"2313","Sushi Boat","Pittsburgh","Japanese"," Chinese",NA,NA,"PA",3.14285714285714
"2314","Sushi Box","Madison","Asian Fusion"," Sushi Bars"," Japanese",NA,"WI",3.79545454545455
"2315","Sushi House Manda","Las Vegas","Japanese",NA,NA,NA,"NV",5
"2316","Sushi Kee","Tempe","Sushi Bars",NA,NA,NA,"AZ",4
"2317","Sushi Kim Restaurant","Pittsburgh","Korean"," Sushi Bars",NA,NA,"PA",3.20731707317073
"2318","Sushi Ko Restaurant","Scottsdale","Sushi Bars",NA,NA,NA,"AZ",3.34146341463415
"2319","Sushi Mishima Restaurant","Phoenix","Japanese",NA,NA,NA,"AZ",3
"2320","Sushi On Rainbow","Las Vegas","Sushi Bars"," Japanese",NA,NA,"NV",3.67647058823529
"2321","Sushi On Shea","Scottsdale","Sushi Bars"," Japanese",NA,NA,"AZ",3.82978723404255
"2322","Sushi Q","Phoenix","Sushi Bars"," Japanese",NA,NA,"AZ",3.54385964912281
"2323","Sushi San","Urbana","",NA,NA,NA,"IL",1.66666666666667
"2324","Sushi Three","Pittsburgh","Sushi Bars"," Japanese",NA,NA,"PA",3.625
"2325","Sushi Yamaguchi","Las Vegas","Sushi Bars"," Japanese",NA,NA,"NV",3.96875
"2326","Sushiya Japan","Charlotte","Sushi Bars"," Japanese",NA,NA,"NC",4.21875
"2327","Susie's Mexican Cafe & Lounge","Phoenix","Mexican",NA,NA,NA,"AZ",3.28571428571429
"2328","Swaddee Thai Cuisine","Chandler","Thai",NA,NA,NA,"AZ",3.74683544303797
"2329","Sweet Cakes Café","Mesa","Bakeries"," Food"," Sandwiches",NA,"AZ",3.81395348837209
"2330","Sweet Tomatoes","Phoenix","Vegetarian"," Buffets"," Salad",NA,"AZ",3.61221122112211
"2331","Swensen's Grill &  Ice Cream Parlor","Phoenix","Food"," Ice Cream & Frozen Yogurt"," American (Traditional)",NA,"AZ",3.1
"2332","Sylvia's La Canasta","Phoenix","Mexican",NA,NA,NA,"AZ",2.33333333333333
"2333","Szechuan Express","Mesa","Thai"," Chinese",NA,NA,"AZ",3.06944444444444
"2334","Szechwan Palace","Phoenix","Chinese",NA,NA,NA,"AZ",3.65573770491803
"2335","T-Bones On the Lake","Lake Wylie","Dive Bars"," Bars"," Steakhouses"," Nightlife","SC",2.06756756756757
"2336","T & M Pizza Italian Restaurant","Casa Grande","Italian"," Pizza",NA,NA,"AZ",3.66666666666667
"2337","T Cook's Restaurant","Phoenix","Mediterranean",NA,NA,NA,"AZ",4
"2338","T.G.I. Fridays","Concord","American (Traditional)",NA,NA,NA,"NC",2.52173913043478
"2339","Table Top Grill And Sushi","Phoenix","Korean"," Sushi Bars",NA,NA,"AZ",4.33333333333333
"2340","Taco Bell","Pittsburgh","Fast Food"," Mexican"," Tex-Mex",NA,"PA",2.76607142857143
"2341","Taco Feliz Mexican Food","Phoenix","Mexican",NA,NA,NA,"AZ",3.76923076923077
"2342","Taco Nazo","Tempe","Mexican",NA,NA,NA,"AZ",2.74358974358974
"2343","Tacos Chava","Phoenix","Mexican",NA,NA,NA,"AZ",4.75
"2344","Tacos De Juarez","Phoenix","Mexican",NA,NA,NA,"AZ",3.89473684210526
"2345","Tacos El Burrito Loco","Las Vegas","Mexican",NA,NA,NA,"NV",3.45454545454545
"2346","Tacos El Compita","Las Vegas","Mexican",NA,NA,NA,"NV",4.42105263157895
"2347","Tacos El Grullo","Mesa","Mexican",NA,NA,NA,"AZ",4.2
"2348","Tacos El Nopal","Las Vegas","Fast Food"," Mexican",NA,NA,"NV",2.85714285714286
"2349","Tacos El Rodeo","Las Vegas","Mexican",NA,NA,NA,"NV",3.83333333333333
"2350","Tacos Jalisco","Phoenix","",NA,NA,NA,"AZ",3.51724137931034
"2351","Tacos Los Toritos","Las Vegas","Mexican",NA,NA,NA,"NV",4
"2352","Tacos Mexico","Phoenix","Mexican",NA,NA,NA,"AZ",3.453125
"2353","Tag's Cafe","Coolidge","Diners",NA,NA,NA,"AZ",3.63636363636364
"2354","Tai Pei","Pittsburgh","Sushi Bars"," Taiwanese"," Chinese",NA,"PA",3.07894736842105
"2355","Tailgate Sports Bar & Grill","Tempe","Bars"," "," American (Traditional)"," Sports Bars, Nightlife","AZ",4.17857142857143
"2356","Taipei Express","Charlotte","Chinese",NA,NA,NA,"NC",3.61111111111111
"2357","Taipei South","Charlotte","Taiwanese"," Chinese",NA,NA,"NC",3.91666666666667
"2358","Taj Indian Restaurant","Madison","Indian",NA,NA,NA,"WI",3.61224489795918
"2359","Takamatsu Of Chandler","Chandler","Korean"," Sushi Bars",NA,NA,"AZ",3.44252873563218
"2360","Takamatsu Restaurant","Chandler","Korean"," Japanese",NA,NA,"AZ",3.33333333333333
"2361","Takara Japanese Restaurant","Madison","Sushi Bars"," Japanese",NA,NA,"WI",3.26851851851852
"2362","Tam's","Phoenix","Chinese",NA,NA,NA,"AZ",3.70588235294118
"2363","Tang Dynasty","Urbana","Chinese",NA,NA,NA,"IL",2.94117647058824
"2364","Tao Yuan Chinese Restaurant","Mesa","Buffets"," Chinese",NA,NA,"AZ",3.07142857142857
"2365","Taqueria Allende","Charlotte","Fast Food"," Mexican",NA,NA,"NC",3.57142857142857
"2366","Taqueria Cajeme","Mesa","Mexican",NA,NA,NA,"AZ",4.2
"2367","Taqueria El Fundador","Phoenix","Mexican",NA,NA,NA,"AZ",3.84848484848485
"2368","Taqueria Guadalajara","Charlotte","Mexican",NA,NA,NA,"NC",3.33333333333333
"2369","Taqueria La Unica","Charlotte","Mexican",NA,NA,NA,"NC",2.9
"2370","Taqueria Mexico","Charlotte","Mexican",NA,NA,NA,"NC",4.15686274509804
"2371","Taquitos Jalisco","Mesa","Mexican",NA,NA,NA,"AZ",4.26666666666667
"2372","Taste of Chicago","Scottsdale","Hot Dogs",NA,NA,NA,"AZ",3.43478260869565
"2373","Taste of China","Monona","Chinese",NA,NA,NA,"WI",3.07692307692308
"2374","Taste of India","Pittsburgh","Indian",NA,NA,NA,"PA",3.71134020618557
"2375","Tasty Chinese Restaurant","Pittsburgh","Chinese",NA,NA,NA,"PA",2.66666666666667
"2376","Tasty Kabob","Tempe","Indian"," Persian/Iranian"," Middle Eastern",NA,"AZ",4.00980392156863
"2377","Tatsis Restaurant","Charlotte","American (Traditional)",NA,NA,NA,"NC",3.66666666666667
"2378","Tavern On The Tracks","Charlotte","American (Traditional)",NA,NA,NA,"NC",3.29473684210526
"2379","Taylor's Cafe","Phoenix","Breakfast & Brunch",NA,NA,NA,"AZ",3.30434782608696
"2380","Taylor's Chowder House","Phoenix","Seafood",NA,NA,NA,"AZ",3.12962962962963
"2381","Tazza D'oro Cafe & Espresso Bar","Pittsburgh","Food"," Coffee & Tea"," Cafes",NA,"PA",4.33333333333333
"2382","Tea Light Cafe","Phoenix","Vietnamese",NA,NA,NA,"AZ",4.04306220095694
"2383","Tea Station","Las Vegas","Food"," Coffee & Tea"," Taiwanese",NA,"NV",3.081589958159
"2384","Teakwood's Tavern & Grill","Scottsdale","American (Traditional)",NA,NA,NA,"AZ",3.45454545454545
"2385","Teakwoods Tavern & Grill","Chandler","Chicken Wings"," Burgers"," Bars"," Nightlife","AZ",3.68333333333333
"2386","Ted's Hot Dogs","Tempe","Burgers"," Hot Dogs"," Gluten-Free",NA,"AZ",4.03755868544601
"2387","Ted's Restaurant","Charlotte","American (Traditional)",NA,NA,NA,"NC",3.73684210526316
"2388","Tee Pee Tap Room","Phoenix","Mexican",NA,NA,NA,"AZ",2.64
"2389","Teeter House Tea Room","Phoenix","Food"," Tea Rooms"," Breakfast & Brunch"," Sandwiches","AZ",3.2
"2390","Temari Fine Japanese Cuisine","Gilbert","Japanese",NA,NA,NA,"AZ",4.3359375
"2391","Teriyaki Kitchen","Mesa","Japanese"," Chinese",NA,NA,"AZ",4.24444444444444
"2392","Tessaro's","Pittsburgh","Burgers"," American (Traditional)"," Steakhouses",NA,"PA",3.89300411522634
"2393","Tessio's Pizza","Tempe","Pizza",NA,NA,NA,"AZ",3.72857142857143
"2394","Teutonia Mannerchor","Pittsburgh","German"," Beer"," Wine & Spirits"," Food","PA",4.25
"2395","Texano's Carne Asada","Tempe","Mexican",NA,NA,NA,"AZ",3.625
"2396","Texas Ranch Steak House","Charlotte","Steakhouses",NA,NA,NA,"NC",3.14285714285714
"2397","Texas Roadhouse","Mesa","Steakhouses"," American (Traditional)"," Barbeque",NA,"AZ",3.46279069767442
"2398","TEXAZ Grill","Phoenix","Steakhouses",NA,NA,NA,"AZ",4.06686930091185
"2399","TGI Friday's","Homestead","Bars"," American (Traditional)"," Nightlife",NA,"PA",2.6125
"2400","Thai Basil","Phoenix","Thai",NA,NA,NA,"AZ",3.65891472868217
"2401","Thai Cuisine","Pittsburgh","Thai",NA,NA,NA,"PA",4.14864864864865
"2402","Thai Grill","Las Vegas","Food"," Food Delivery Services"," Thai",NA,"NV",3.70512820512821
"2403","Thai House At Tower Place","Charlotte","Thai",NA,NA,NA,"NC",3.75280898876404
"2404","Thai Lahna Restaurant","Phoenix","Thai",NA,NA,NA,"AZ",3.32867132867133
"2405","Thai Orchid Restaurant","Charlotte","Thai"," Asian Fusion",NA,NA,"NC",3.71666666666667
"2406","Thai Pan Fresh Exotic Cuisine","Scottsdale","Thai",NA,NA,NA,"AZ",3.79166666666667
"2407","Thai Place Restaurant","Pittsburgh","Thai",NA,NA,NA,"PA",3.23529411764706
"2408","Thai Rama","Phoenix","Thai",NA,NA,NA,"AZ",3.73125
"2409","Thai Taste","Charlotte","Thai",NA,NA,NA,"NC",3.77647058823529
"2410","Thai Thai","Paradise Valley","Thai",NA,NA,NA,"AZ",4
"2411","Thaifoon Taste of Asia","Paradise Valley","",NA,NA,NA,"AZ",2
"2412","That's A Wrap","Phoenix","Sandwiches",NA,NA,NA,"AZ",4.1219512195122
"2413","That's Amore","Pittsburgh","Pizza",NA,NA,NA,"PA",4.4
"2414","The Adobe Restaurant","Phoenix","American (Traditional)",NA,NA,NA,"AZ",2.88888888888889
"2415","The Appian Way","Fountain Hills",""," Pizza"," Italian",NA,"AZ",2.7
"2416","The Apple Cafe","Scottsdale","American (Traditional)"," Sandwiches",NA,NA,"AZ",3.66666666666667
"2417","The Apple Dumplin'","Urbana","American (Traditional)",NA,NA,NA,"IL",3.69565217391304
"2418","The Bamboo Club","Phoenix","American (Traditional)",NA,NA,NA,"AZ",2.63636363636364
"2419","The Bloomfield Sandwich Shop","Pittsburgh","Breakfast & Brunch"," Sandwiches",NA,NA,"PA",4.04878048780488
"2420","The Blue Marlin","Madison","Seafood",NA,NA,NA,"WI",3.675
"2421","The Blue Moose","Scottsdale","Bars"," "," American (Traditional)"," Sports Bars, Nightlife","AZ",3.56603773584906
"2422","The Blue Skillet","Las Vegas","Breakfast & Brunch",NA,NA,NA,"NV",3.58620689655172
"2423","The Bread Company","Urbana","Bakeries"," Food"," American (New)"," Sandwiches","IL",3.65882352941176
"2424","The Brickhouse","Phoenix","Arts & Entertainment"," American (Traditional)"," Nightlife"," Music Venues","AZ",3.5
"2425","The Brightstar Grill","Mount Holly","American (Traditional)",NA,NA,NA,"NC",4.12
"2426","The Broiler","Las Vegas","Seafood"," Steakhouses",NA,NA,"NV",3.26923076923077
"2427","The Capital Grille","Charlotte","Bars"," Seafood"," Wine Bars"," Nightlife, Steakhouses","NC",4.27315914489311
"2428","The Captain's Cap","Belmont","Seafood",NA,NA,NA,"NC",3.18181818181818
"2429","The Cheesecake Factory","Phoenix","Food"," Desserts"," American (Traditional)",NA,"AZ",3.3859649122807
"2430","The Clock Restaurant","Charlotte","American (Traditional)",NA,NA,NA,"NC",3
"2431","The Coliseum Bar & Banquet","Madison","Bars"," American (Traditional)"," Nightlife"," , Sports Bars, Diners","WI",2.90322580645161
"2432","The Common Market","Charlotte","Food"," Beer"," Wine & Spirits"," Delis","NC",4.47093023255814
"2433","The Cook's Shop Pizzeria","Las Vegas","Pizza",NA,NA,NA,"NV",3.66666666666667
"2434","The Corner Deli","Scottsdale","Delis"," Sandwiches",NA,NA,"AZ",3.66666666666667
"2435","The Cove Trattoria","Paradise Valley","Italian"," Pizza",NA,NA,"AZ",3.71323529411765
"2436","The Dardanelles","Madison","Mediterranean",NA,NA,NA,"WI",2.625
"2437","The Dirty Drummer","Mesa","American (Traditional)",NA,NA,NA,"AZ",3.07142857142857
"2438","The Dor-Stop Restaurant","Pittsburgh","Breakfast & Brunch"," Diners",NA,NA,"PA",4.32863849765258
"2439","The Downtown Deli","Phoenix","Breakfast & Brunch"," Delis"," Sandwiches",NA,"AZ",3.85185185185185
"2440","The Dragon Chinese Cuisine","Munhall","Chinese",NA,NA,NA,"PA",3.25
"2441","The Duchess bar and Grille","Mesa","Bars"," American (Traditional)"," Nightlife",NA,"AZ",4.75
"2442","The Elbow Room","Pittsburgh","American (New)",NA,NA,NA,"PA",3.26582278481013
"2443","The Farmhouse Restaurant","Gilbert","Breakfast & Brunch"," American (Traditional)",NA,NA,"AZ",4.15503875968992
"2444","The Flight Line Bar and Grill","Phoenix","Bars"," American (Traditional)"," Dive Bars"," Nightlife, Sports Bars","AZ",3.5
"2445","The Fry Bread House","Phoenix","American (Traditional)",NA,NA,NA,"AZ",4.17297297297297
"2446","The Garage Pub and Pizza","Gold Canyon","Pizza",NA,NA,NA,"AZ",3.5
"2447","The Getaway Café","Pittsburgh","American (New)",NA,NA,NA,"PA",2.88888888888889
"2448","The Golden Coast II","Charlotte","Chinese",NA,NA,NA,"NC",2.5
"2449","The Golden Greek","Phoenix","Greek"," Mediterranean",NA,NA,"AZ",4.21875
"2450","The Good Egg","Phoenix","Breakfast & Brunch",NA,NA,NA,"AZ",3.55
"2451","The Good Egg - Ancala","Scottsdale","Breakfast & Brunch",NA,NA,NA,"AZ",2.79661016949153
"2452","The Good Egg - Carefree","Scottsdale","Breakfast & Brunch",NA,NA,NA,"AZ",3.73684210526316
"2453","The Good Egg - Dobson","Mesa","Breakfast & Brunch",NA,NA,NA,"AZ",3.88785046728972
"2454","The Good Egg - Hilton Village","Scottsdale","Breakfast & Brunch",NA,NA,NA,"AZ",3.60344827586207
"2455","The Good Egg - McQueen","Gilbert","Breakfast & Brunch",NA,NA,NA,"AZ",3.90196078431373
"2456","The Good Egg - Park Central","Phoenix","Breakfast & Brunch",NA,NA,NA,"AZ",3.26206896551724
"2457","The Good Egg - Ray","Chandler","Breakfast & Brunch",NA,NA,NA,"AZ",3.73563218390805
"2458","The Good Egg - Thunderbird","Scottsdale","Breakfast & Brunch",NA,NA,NA,"AZ",3.67605633802817
"2459","The Good Egg - Uptown","Phoenix","Breakfast & Brunch",NA,NA,NA,"AZ",3.48571428571429
"2460","The Grapevine","Scottsdale",""," American (New)"," Karaoke"," Nightlife","AZ",3.05921052631579
"2461","The Great Dane Restaurant","Phoenix","Hot Dogs"," Sandwiches",NA,NA,"AZ",4.14285714285714
"2462","The Great Impasta","Urbana",""," Italian",NA,NA,"IL",3.125
"2463","The Great Wall Of China South","Charlotte","Chinese",NA,NA,NA,"NC",3.32941176470588
"2464","The Grill","Scottsdale","Seafood"," Gastropubs",NA,NA,"AZ",3.84210526315789
"2465","The Grille","Mesa","Nightlife"," Bars"," American (New)"," Sports Bars","AZ",3.52173913043478
"2466","The Inn on Negley","Pittsburgh","Food"," Tea Rooms"," Breakfast & Brunch"," Bed & Breakfast, Hotels & Travel","PA",4.5
"2467","The Iowa Cafe","Mesa","American (Traditional)"," Sandwiches",NA,NA,"AZ",2.87931034482759
"2468","The Isaly Company","Pittsburgh","Food"," Ice Cream & Frozen Yogurt"," Delis",NA,"PA",3
"2469","The Keg Steakhouse + Bar","Chandler","Seafood"," Bars"," Steakhouses"," Nightlife","AZ",3.87403598971722
"2470","The Lakes Restaurant At Westbrook","Peoria","",NA,NA,NA,"AZ",2
"2471","The Lemon Grass Cafe","Pittsburgh","Thai",NA,NA,NA,"PA",2.32142857142857
"2472","The Little Kitchen","Mesa","Breakfast & Brunch",NA,NA,NA,"AZ",3.46153846153846
"2473","The Little Village Restaurant","McAdenville","Burgers",NA,NA,NA,"NC",3.8
"2474","The Lodge At Fort Apache","Las Vegas","Pubs"," Bars"," American (Traditional)"," Nightlife","NV",3
"2475","The Lunch Bag","Scottsdale","Sandwiches",NA,NA,NA,"AZ",4.13725490196078
"2476","The Magic Wok","Tempe","Chinese",NA,NA,NA,"AZ",3.75
"2477","The Mammoth Steak House","Apache Junction","Steakhouses",NA,NA,NA,"AZ",3.41666666666667
"2478","The Mediterranean Grill","Pittsburgh","Middle Eastern"," Lebanese"," Mediterranean",NA,"PA",3.93103448275862
"2479","The Melting Pot","Charlotte","Fondue",NA,NA,NA,"NC",3.78151260504202
"2480","The Men's Club of Charlotte","Charlotte","Bars"," Adult Entertainment"," Cocktail Bars"," Nightlife, American (New)","NC",3.64864864864865
"2481","The New E","Chandler","Mexican",NA,NA,NA,"AZ",3.67948717948718
"2482","The New Frontier","Wickenburg","Breakfast & Brunch",NA,NA,NA,"AZ",3.66666666666667
"2483","The Nosh Cafe","Phoenix","Food"," Breakfast & Brunch"," Bagels"," Sandwiches","AZ",4.36585365853659
"2484","The Old Pueblo Cafe","Litchfield Park","Bars"," Mexican"," Nightlife",NA,"AZ",3.39669421487603
"2485","The Old Spaghetti Factory","Phoenix",""," Italian",NA,NA,"AZ",3.19291338582677
"2486","The Original Wineburger","Phoenix","Burgers",NA,NA,NA,"AZ",3.68965517241379
"2487","The Other Q Bar and Grill","Phoenix","Nightlife"," Seafood"," American (Traditional)"," Bars","AZ",3.15
"2488","The Paradise Lounge","Madison","Dive Bars"," Bars"," American (New)"," Nightlife","WI",4.02222222222222
"2489","The Penguin Drive-In","Charlotte","American (Traditional)"," Diners",NA,NA,"NC",3.2271186440678
"2490","The Pickle Barrel","Pittsburgh","Burgers",NA,NA,NA,"PA",3.66666666666667
"2491","The Pita Pit","Champaign","Sandwiches",NA,NA,NA,"IL",3.07692307692308
"2492","The Pizza","Pittsburgh","Pizza",NA,NA,NA,"PA",3.25
"2493","The Pizza Company","Munhall","Pizza",NA,NA,NA,"PA",3.5
"2494","The Place","Phoenix","Breakfast & Brunch"," American (New)",NA,NA,"AZ",2.84615384615385
"2495","The Press Box","Charlotte","Bars"," "," American (Traditional)"," Sports Bars, Nightlife","NC",3
"2496","The Pretzel Shop","Pittsburgh","Food"," American (Traditional)"," Pretzels",NA,"PA",4.33333333333333
"2497","The Prime Chinese Restaurant","Phoenix","Chinese",NA,NA,NA,"AZ",4.16129032258065
"2498","The Range Steakhouse","Las Vegas","Steakhouses",NA,NA,NA,"NV",4.19148936170213
"2499","The Red Herring Vegetarian Restaurant","Urbana","Vegetarian"," Cafes"," Vegan",NA,"IL",4.20454545454545
"2500","The Ribeye","Champaign","Steakhouses",NA,NA,NA,"IL",3.37777777777778
"2501","The Roasting Company","Charlotte","Southern"," Chicken Wings",NA,NA,"NC",4.00564971751412
"2502","The Rodeside Grill","Windsor","American (Traditional)",NA,NA,NA,"WI",3.88888888888889
"2503","The Roost Pub and Grill","Verona","",NA,NA,NA,"WI",2.66666666666667
"2504","The Saloon of Mt. Lebanon","Pittsburgh","Bars"," American (Traditional)"," Burgers"," Nightlife, Sports Bars","PA",3.47222222222222
"2505","The Sandwich Club","Charlotte","Delis",NA,NA,NA,"NC",3.4
"2506","The Seafarer","Charlotte","Seafood",NA,NA,NA,"NC",3
"2507","The Seafood Center","Madison","Seafood",NA,NA,NA,"WI",4.47058823529412
